[[あざ笑った]]の意味は？,バカにして笑った,心配そうにほほえんだ,笑いそうになるのを我慢した
[[いぶかしそうに]]の意味は？,どことなく疑わしそうに,あわててせきこむように,その人にふさわしくないように
[[うかつにも]]の意味は？,うっかりして,わかっていながら,張り切って
[[浮き足立った]]の意味は？,落ち着きがなくなった,さらに気持ちがひきしまった,すっかりあきらめムードになった
[[上の空]]の意味は？,ほかのことが気になって、落ち着かない様子,最初から聞く気がない様子,聞かなくてもわかっているという態度
[[嗚咽]]の意味は？,声をつまらせながら泣くこと,何度もため息をつくこと,大声で他人を非難すること
[[おもむろに]]の意味は？,静かに、ゆっくりと,重々しく,けだるい感じで
[[考えあぐねたすえに]]の意味は？,考えてもなかなかよい考えがうかばなくて,考えてもなかなかみんなの賛成が得られず,考えている時間がなかなかなくて
[[観念した]]の意味は？,あきらめた,心から反省した,言い訳を考えた
[[屈託のない]]の意味は？,心配事やこだわりがない,誰が見てもかわいらしい,おなかがいっぱいで満足している
[[釈然としない]]の意味は？,心がすっきり晴れない,なんとなく気持ちが落ち着かない,人を不安にさせる
なす[[すべ]]もないの意味は？,手段や方法,技術や資金,信用やほこり
その場に[[そぐわない]]の意味は？,ふさわしくない,何も知らない,ちょうどあっている
[[たしなめられた]]の意味は？,軽く注意された,厳しくしかられた,あきれられた
[[たわいなく]]負けてしまったの意味は？,たやすく,もう少しのところで,周りの予想したとおり
[[丹念に]]調べるの意味は？,細かいところまで丁寧に,計画したとおりに,指示されたとおりに
[[手持ち無沙汰]]の意味は？,退屈なこと,いらいらすること,おもしろくないこと
[[のるかそるか]]の大勝負の意味は？,成功するか失敗するか,もうかるか損するか,勝ったり負けたり
[[万事休す]]の意味は？,もうどうすることもできない,すっかりやる気がなくなる,すべてが休みになる
[[匹敵する]]者はいない　下線の意味は？,程度が同じくらいでつりあう,認められる技術を持っている,追いつくことができる
[[ほくそえんで]]いる　下線の意味は？,うまくいったとこっそり笑って,えくぼができるように笑って,笑いをかみ殺して
[[ままならない]]世の中 下線の意味は？,思うようにならない,少しも変わらない,景気がよくならない
[[水くさい]]ことを言う 下線の意味は？,他人のようによそよそしい,しめっぽい,ありふれている
[[やみくもに]]走る  下線の意味は？,むやみやたらに,くもっている間に,一心不乱に
[[あたふたと]]　 下線の意味は？,あわてて急いで,どうしていいかわからず,がっかりして